"genero","especie","nombre_comun","categoria"
"Tringa","solitaria","Solitary-Sandpiper","LC"
"Actitis","macularius","Spotted-Sandpiper","LC"
"Arenaria","interpres","Ruddy-Turnstone","LC"
"Phalaropus","fulicarius","Red-Phalarope","LC"
"Steganopus","tricolor","Wilsons-Phalarope","LC"
"Gallinago","andina","Puna-Snipe","LC"
"Gallinago","paraguaiae","South-American-Snipe","LC"
"Limnodromus","griseus","Short-billed-Dowitcher","LC"
"Calidris","alba","Sanderling","LC"
"Calidris","bairdii","Bairds-Sandpiper","LC"
"Calidris","canutus","Red-Knot","LC"
"Calidris","fuscicollis","White-rumped-Sandpiper","LC"
"Calidris","melanotos","Pectoral-Sandpiper","LC"
"Calidris","pusilla","Semipalmated-Sandpiper","NT"
"Calidris","himantopus","Stilt-Sandpiper","LC"
"Attagis","gayi","Rufous-bellied-Seedsnipe","LC"
"Attagis","malouinus","White-bellied-Seedsnipe","LC"
"Thinocorus","orbignyianus","Grey-breasted-Seedsnipe","LC"
"Thinocorus","rumicivorus","Least-Seedsnipe","LC"
"Chionis","albus","Snowy-Sheathbill","LC"
"Stercorarius","chilensis","Chilean-Skua","LC"
"Stercorarius","maccormicki","South-Polar-Skua","LC"
"Stercorarius","antarcticus","Southern-Skua","LC"
"Stercorarius","longicaudus","Long-tailed-Jaeger","LC"
"Stercorarius","parasiticus","Parasitic-Jaeger","LC"
"Larus","cirrocephalus","Grey-headed-Gull","LC"
"Larus","dominicanus","Kelp-Gull","LC"
"Larus","maculipennis","Brown-hooded-Gull","LC"
"Larus","serranus","Andean-Gull","LC"
"Chlidonias","niger","Black-Tern","LC"
"Phaetusa","simplex","Large-billed-Tern","LC"
"Sterna","nilotica","Gull-billed-Tern","LC"
"Sterna","antillarum","Least-Tern","LC"
"Sterna","hirundo","Common-Tern","LC"
"Sterna","paradisaea","Arctic-Tern","LC"
"Sterna","superciliaris","Yellow-billed-Tern","LC"
"Sterna","vittata","Antarctic-Tern","LC"
"Sterna","maxima","Royal-Tern","LC"
"Sterna","sandvicensis","Sandwich-Tern","LC"
"Rynchops","niger","Black-Skimmer","LC"
"Patagioenas","cayennensis","Pale-vented-Pigeon","LC"
"Patagioenas","fasciata","Band-tailed-Pigeon","LC"
"Patagioenas","maculosa","Spot-winged-Pigeon","LC"
